il,fiyat(TRY),marka,seri,model,kilometre(Km),yıl,vitesTipi,yakitTuru,kasaTipi,renk,cekisTipi,takasUygunluk,saticiTuru,hasarGecmisi,orjinal_parça_sayısı,lokal_boyalı_parça_sayısı,boyalı_parça_sayısı,değişen_parça_sayısı,durumu_belirtilmemiş_parça_sayısı,fiyat_temiz,km_temiz,yil_temiz,motor_gucu_temiz,motor_hacmi_temiz,arac_yasi,km_per_yas,hasar_skoru,log_fiyat,marka_populerlik,marka_populerlik_log
Bolu,1.169.000 TL,Audi,A3,A3 Sportback 1.0 TFSI Dynamic,120.000 km,2016.0,Otomatik,Benzin,Hatchback/5,Beyaz,Önden Çekiş,Takasa Uygun,Bilinmiyor,Bilinmiyor,13,0,0,0,0,1169000,120000.0,2016.0,113.0,1200.0,8.0,15000.0,0.0,13.971660095885833,495,6.206575926724928
Ankara,2.450.000 TL,Audi,A6,A6 Sedan 2.0 TDI Quattro,136.000 km,2018.0,Yarı Otomatik,Dizel,Sedan,Siyah,4WD (Sürekli),Takasa Uygun Değil,Galeriden,tutarı belirtilmemiş,8,0,4,1,0,2450000,136000.0,2018.0,190.0,1968.0,6.0,22666.666666666668,11.0,14.711598990684092,495,6.206575926724928
Afyonkarahisar,750.000 TL,Audi,A4,A4 Sedan 1.8 TFSI,285.000 km,2011.0,Otomatik,Benzin,Sedan,Beyaz,Önden Çekiş,Takasa Uygun Değil,Sahibinden,75.000,5,2,6,0,0,750000,285000.0,2011.0,160.0,1798.0,13.0,21923.076923076922,14.0,13.527829818844937,495,6.206575926724928
Antalya,1.195.000 TL,Audi,A3,A3 Sportback 1.6 TDI Ambiente,101.000 km,2016.0,Yarı Otomatik,Dizel,Hatchback/5,Siyah,Önden Çekiş,Takasa Uygun,Galeriden,tutarı yok,11,1,0,1,0,1195000,101000.0,2016.0,110.0,1598.0,8.0,12625.0,4.0,13.993657580167481,495,6.206575926724928
Ankara,822.000 TL,Audi,A3,A3 Sportback 1.6 TDI Attraction,212.000 km,2012.0,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,Önden Çekiş,Bilinmiyor,Bilinmiyor,tutarı belirtilmemiş,12,1,0,0,0,822000,212000.0,2012.0,105.0,1598.0,12.0,17666.666666666668,1.0,13.619496890582589,495,6.206575926724928
İstanbul,1.750.000 TL,Audi,A4,A4 Sedan 1.4 TFSI Dynamic,85.600 km,2018.0,Yarı Otomatik,Benzin,Sedan,Füme,Önden Çekiş,Takasa Uygun,Galeriden,37.800,0,1,0,0,12,1750000,85600.0,2018.0,150.0,1395.0,6.0,14266.666666666666,1.0,14.375126917328105,495,6.206575926724928
Tekirdağ,990.000 TL,Audi,A3,A3 Sedan 1.6 TDI Ambiente,218.000 km,2014.0,Yarı Otomatik,Dizel,Sedan,Siyah,Önden Çekiş,Takasa Uygun,Galeriden,3.295,0,0,0,1,12,990000,218000.0,2014.0,110.0,1598.0,10.0,21800.0,3.0,13.805461232211272,495,6.206575926724928
Sakarya,1.475.000 TL,Audi,A3,A3 Sedan 1.6 TDI Design Line,126.000 km,2018.0,Otomatik,Dizel,Sedan,Siyah,Önden Çekiş,Takasa Uygun,Bilinmiyor,Bilinmiyor,9,0,4,0,0,1475000,126000.0,2018.0,113.0,1500.5,6.0,21000.0,8.0,14.204169225721929,495,6.206575926724928
Zonguldak,1.030.000 TL,Audi,A6,A6 Sedan 2.0 TDI,189.000 km,2008.0,Otomatik,Dizel,Sedan,Siyah,Önden Çekiş,Takasa Uygun Değil,Galeriden,Bilinmiyor,13,0,0,0,0,1030000,189000.0,2008.0,136.0,1968.0,16.0,11812.5,0.0,13.845070331079134,495,6.206575926724928
Gaziantep,1.185.000 TL,Audi,A3,A3 Sedan 1.6 TDI Dynamic,159.500 km,2017.0,Otomatik,Dizel,Sedan,Siyah,Önden Çekiş,Takasa Uygun Değil,Bilinmiyor,Bilinmiyor,11,1,1,0,0,1185000,159500.0,2017.0,113.0,1500.5,7.0,22785.714285714286,3.0,13.98525417643287,495,6.206575926724928
İstanbul,1.600.000 TL,Audi,A3,A3 Sedan 35 TFSI Design,55.000 km,2020.0,Yarı Otomatik,Benzin,Sedan,Füme,Önden Çekiş,Bilinmiyor,Sahibinden,29.543,0,0,2,0,11,1600000,55000.0,2020.0,150.0,1498.0,4.0,13750.0,4.0,14.285514812209815,495,6.206575926724928
Tekirdağ,1.150.000 TL,Audi,A3,A3 Sedan 1.6 TDI Design Line,240.000 km,2016.0,Yarı Otomatik,Dizel,Sedan,Siyah,Önden Çekiş,Bilinmiyor,Sahibinden,Bilinmiyor,0,0,1,0,12,1150000,240000.0,2016.0,110.0,1598.0,8.0,30000.0,2.0,13.955273369904273,495,6.206575926724928
Ankara,4.850.000 TL,Audi,A6,A6 Sedan 40 TDI Quattro Design,62.000 km,2022.0,Otomatik,Dizel,Sedan,Siyah,4WD (Sürekli),Takasa Uygun Değil,Bilinmiyor,Bilinmiyor,13,0,0,0,0,4850000,62000.0,2022.0,213.0,1900.5,2.0,31000.0,0.0,15.394489469099211,495,6.206575926724928
Diyarbakır,875.000 TL,Audi,A4,A4 Sedan 2.0 TDI,355.000 km,2014.0,Otomatik,Dizel,Sedan,Beyaz,Önden Çekiş,Takasa Uygun Değil,Galeriden,Bilinmiyor,8,2,2,1,0,875000,355000.0,2014.0,150.0,1968.0,10.0,35500.0,9.0,13.681980308196241,495,6.206575926724928
İstanbul,990.000 TL,Audi,A3,A3 Sportback 1.6 TDI Ambition,216.000 km,2014.0,Otomatik,Dizel,Hatchback/5,Siyah,Önden Çekiş,Takasa Uygun,Bilinmiyor,Bilinmiyor,7,4,1,1,0,990000,216000.0,2014.0,113.0,1500.5,10.0,21600.0,9.0,13.805461232211272,495,6.206575926724928
Adana,1.440.000 TL,Audi,A3,A3 Sportback 1.6 TDI Sport Line,150.500 km,2018.0,Otomatik,Dizel,Hatchback/5,Kırmızı,Önden Çekiş,Takasa Uygun,Bilinmiyor,Bilinmiyor,11,0,1,1,0,1440000,150500.0,2018.0,113.0,1500.5,6.0,25083.333333333332,5.0,14.180154365996387,495,6.206575926724928
Zonguldak,735.000 TL,Audi,A3,A3 Sportback 1.4 TFSI Ambition,214.000 km,2009.0,Yarı Otomatik,Benzin,Hatchback/5,Füme,Önden Çekiş,Bilinmiyor,Sahibinden,21.000,0,1,0,1,11,735000,214000.0,2009.0,125.0,1390.0,15.0,14266.666666666666,4.0,13.507627138738266,495,6.206575926724928
Manisa,2.000.000 TL,Audi,A3,A3 Sportback 35 TFSI Advanced,27.000 km,2023.0,Yarı Otomatik,Hibrit,Hatchback/5,Beyaz,Önden Çekiş,Bilinmiyor,Sahibinden,tutarı yok,0,1,0,0,12,2000000,27000.0,2023.0,150.0,1498.0,1.0,27000.0,1.0,14.508658238524095,495,6.206575926724928
İzmir,1.860.000 TL,Audi,A3,A3 Sedan 30 TFSI Advanced,67.000 km,2021.0,Otomatik,LPG & Benzin,Sedan,Siyah,Önden Çekiş,Takasa Uygun Değil,Bilinmiyor,Bilinmiyor,13,0,0,0,0,1860000,67000.0,2021.0,113.0,1200.0,3.0,22333.333333333332,0.0,14.436087583323648,495,6.206575926724928
Ankara,760.000 TL,Audi,A6,A6 Sedan 2.0 TDI,280.000 km,2007.0,Otomatik,LPG & Benzin,Sedan,Siyah,Önden Çekiş,Bilinmiyor,Sahibinden,tutarı yok,1,0,10,2,0,760000,280000.0,2007.0,140.0,1968.0,17.0,16470.58823529412,26.0,13.541075028051122,495,6.206575926724928
Bursa,1.025.000 TL,Audi,A4,A4 Sedan 2.0 TDI,323.000 km,2015.0,Otomatik,Dizel,Sedan,Beyaz,Önden Çekiş,Bilinmiyor,Sahibinden,8.500,0,3,1,0,9,1025000,323000.0,2015.0,150.0,1968.0,9.0,35888.88888888889,5.0,13.840204146163925,495,6.206575926724928
Trabzon,895.000 TL,Audi,A6,A6 Sedan 2.0 TDI,286.000 km,2011.0,Otomatik,Dizel,Sedan,Siyah,Önden Çekiş,Takasa Uygun,Galeriden,Bilinmiyor,7,1,1,4,0,895000,286000.0,2011.0,177.0,1998.0,13.0,22000.0,15.0,13.704580114574805,495,6.206575926724928
Erzurum,985.000 TL,Audi,A3,A3 Sportback 1.6 TDI Ambition,212.000 km,2013.0,Otomatik,Dizel,Hatchback/5,Beyaz,Önden Çekiş,Takasa Uygun,Bilinmiyor,Bilinmiyor,13,0,0,0,0,985000,212000.0,2013.0,113.0,1500.5,11.0,19272.727272727272,0.0,13.800397935382136,495,6.206575926724928
Adana,4.165.000 TL,Audi,A6,A6 Sedan 40 TDI Quattro Sport,62.000 km,2021.0,Otomatik,Dizel,Sedan,Gri,4WD (Sürekli),Takasa Uygun,Bilinmiyor,Bilinmiyor,13,0,0,0,0,4165000,62000.0,2021.0,213.0,1900.5,3.0,20666.666666666668,0.0,15.24222707367909,495,6.206575926724928
Gaziantep,940.000 TL,Audi,A3,A3 Sedan 1.6 TDI Ambiente,270.000 km,2015.0,Otomatik,Dizel,Sedan,Beyaz,Önden Çekiş,Takasa Uygun,Bilinmiyor,Bilinmiyor,10,1,1,1,0,940000,270000.0,2015.0,113.0,1500.5,9.0,30000.0,6.0,13.753636218075409,495,6.206575926724928
İstanbul,1.450.000 TL,Audi,A3,A3 Sedan 1.0 TFSI Sport Line,68.000 km,2017.0,Yarı Otomatik,Benzin,Sedan,Siyah,Önden Çekiş,Takasa Uygun Değil,Sahibinden,tutarı yok,12,0,1,0,0,1450000,68000.0,2017.0,116.0,999.0,7.0,9714.285714285714,2.0,14.187074804051692,495,6.206575926724928
Adana,822.000 TL,Audi,A3,A3 Sportback 1.6 TDI Ambiente,212.000 km,2012.0,Otomatik,Dizel,Hatchback/5,Beyaz,Önden Çekiş,Takasa Uygun,Bilinmiyor,Bilinmiyor,13,0,0,0,0,822000,212000.0,2012.0,113.0,1500.5,12.0,17666.666666666668,0.0,13.619496890582589,495,6.206575926724928
İstanbul,11.750.000 TL,Audi,A8,55 TFSI Quattro Long,57.000 km,2022.0,Otomatik,Benzin,Sedan,Siyah,4WD (Sürekli),Takasa Uygun Değil,Galeriden,Bilinmiyor,13,0,0,0,0,11750000,57000.0,2022.0,340.0,2995.0,2.0,28500.0,0.0,16.27936388366082,495,6.206575926724928
Sivas,2.685.058 TL,Audi,A4,A4 Sedan 40 TDI S Line,79.000 km,2019.0,Otomatik,Dizel,Sedan,Füme,Önden Çekiş,Takasa Uygun,Bilinmiyor,Bilinmiyor,12,1,0,0,0,2685058,79000.0,2019.0,188.0,1900.5,5.0,15800.0,1.0,14.803213259612916,495,6.206575926724928
Bursa,530.000 TL,Audi,A3,A3 Sportback 1.6 Sportback Standart,388.000 km,2008.0,Düz,LPG & Benzin,Hatchback/5,Siyah,Önden Çekiş,Bilinmiyor,Sahibinden,tutarı yok,1,1,10,1,0,530000,388000.0,2008.0,102.0,1595.0,16.0,24250.0,24.0,13.180634172318978,495,6.206575926724928
İstanbul,1.125.000 TL,Audi,A5,A5 Sportback 2.0 TDI,174.000 km,2011.0,Otomatik,Dizel,Coupe,Gri,Önden Çekiş,Takasa Uygun,Bilinmiyor,Bilinmiyor,7,1,5,0,0,1125000,174000.0,2011.0,163.0,1900.5,13.0,13384.615384615385,11.0,13.933294482509151,495,6.206575926724928
İstanbul,1.799.999 TL,Audi,A3,A3 Sedan 35 TFSI Advanced,95.000 km,2021.0,Otomatik,Benzin,Sedan,Siyah,Önden Çekiş,Takasa Uygun,Bilinmiyor,Bilinmiyor,10,3,0,0,0,1799999,95000.0,2021.0,138.0,1500.5,3.0,31666.666666666668,3.0,14.403297222866392,495,6.206575926724928
Karabük,840.000 TL,Audi,A6,A6 Sedan 2.0 TDI,360.000 km,2009.0,Otomatik,Dizel,Sedan,Siyah,Önden Çekiş,Bilinmiyor,Sahibinden,Bilinmiyor,0,0,0,0,13,840000,360000.0,2009.0,136.0,1968.0,15.0,24000.0,0.0,13.641158361294979,495,6.206575926724928
İstanbul,1.489.900 TL,Audi,A3,A3 Sedan 35 TFSI Dynamic,56.500 km,2020.0,Otomatik,Benzin,Sedan,Siyah,Önden Çekiş,Takasa Uygun Değil,Bilinmiyor,Bilinmiyor,9,4,0,0,0,1489900,56500.0,2020.0,138.0,1500.5,4.0,14125.0,4.0,14.21422023276119,495,6.206575926724928
İstanbul,7.270.000 TL,Audi,A7,45 TFSI,6.100 km,2024.0,Otomatik,Benzin,Hatchback/5,Siyah,4WD (Sürekli),Takasa Uygun,Bilinmiyor,Bilinmiyor,13,0,0,0,0,7270000,6100.0,2024.0,263.0,1900.5,0.0,6100.0,0.0,15.799266987061275,495,6.206575926724928
Kayseri,1.795.000 TL,Audi,A6,A6 Sedan 2.0 TDI,311.000 km,2016.0,Otomatik,Dizel,Sedan,Siyah,Önden Çekiş,Takasa Uygun,Bilinmiyor,Bilinmiyor,10,2,0,1,0,1795000,311000.0,2016.0,188.0,1900.5,8.0,38875.0,5.0,14.400516137007425,495,6.206575926724928
Bursa,755.000 TL,Audi,A3,A3 Sportback 1.6 TDI Attraction,213.000 km,2011.0,Otomatik,Dizel,Hatchback/5,Siyah,Önden Çekiş,Takasa Uygun,Bilinmiyor,Bilinmiyor,13,0,0,0,0,755000,213000.0,2011.0,113.0,1500.5,13.0,16384.615384615383,0.0,13.534474352733596,495,6.206575926724928
Şanlıurfa,1.820.000 TL,Audi,A3,A3 Sedan 30 TDI Sport,52.000 km,2019.0,Otomatik,Dizel,Sedan,Beyaz,Önden Çekiş,Takasa Uygun Değil,Bilinmiyor,Bilinmiyor,13,0,0,0,0,1820000,52000.0,2019.0,113.0,1500.5,5.0,10400.0,0.0,14.414347608503377,495,6.206575926724928
İzmir,965.000 TL,Audi,A3,A3 Sedan 1.6 TDI S Line,276.500 km,2015.0,Otomatik,Dizel,Sedan,Beyaz,Önden Çekiş,Takasa Uygun,Bilinmiyor,Bilinmiyor,13,0,0,0,0,965000,276500.0,2015.0,113.0,1500.5,9.0,30722.222222222223,0.0,13.779884416590017,495,6.206575926724928
İstanbul,4.600.000 TL,Audi,A6,A6 Sedan 45 TFSI Quattro Sport,45.000 km,2023.0,Otomatik,Benzin,Sedan,Gri,4WD (Sürekli),Takasa Uygun,Bilinmiyor,Bilinmiyor,13,0,0,0,0,4600000,45000.0,2023.0,263.0,1900.5,1.0,45000.0,0.0,15.341567078850604,495,6.206575926724928
İstanbul,3.274.950 TL,Audi,A4,A4 Sedan 40 TDI Quattro Advanced,9.700 km,2024.0,Otomatik,Dizel,Sedan,Siyah,4WD (Sürekli),Takasa Uygun,Bilinmiyor,Bilinmiyor,13,0,0,0,0,3274950,9700.0,2024.0,213.0,1900.5,0.0,9700.0,0.0,15.0018134651075,495,6.206575926724928
Kocaeli,800.000 TL,Audi,A3,A3 Sportback 1.4 TFSI Ambiente,235.000 km,2010.0,Yarı Otomatik,Benzin,Hatchback/5,Beyaz,Önden Çekiş,Bilinmiyor,Sahibinden,30.000,0,5,1,0,7,800000,235000.0,2010.0,125.0,1390.0,14.0,16785.714285714286,7.0,13.592368256649284,495,6.206575926724928
İzmir,755.000 TL,Audi,A3,A3 Sportback 1.6 TDI Attraction,200.000 km,2013.0,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,Önden Çekiş,Takasa Uygun Değil,Sahibinden,3.000,0,1,1,1,10,755000,200000.0,2013.0,105.0,1598.0,11.0,18181.81818181818,6.0,13.534474352733596,495,6.206575926724928
İstanbul,400.000 TL,Audi,A3,A3 Sportback 1.6 Ambiente,208.000 km,2003.0,Düz,Benzin,Hatchback/3,Gri (Gümüş),Bilinmiyor,Bilinmiyor,Bilinmiyor,Bilinmiyor,13,0,0,0,0,400000,208000.0,2003.0,100.0,1499.0,21.0,9904.761904761905,0.0,12.899222326086994,495,6.206575926724928
Siirt,595.000 TL,Audi,A3,A3 Sportback 1.6 Attraction,256.060 km,2006.0,Otomatik,LPG & Benzin,Hatchback/5,Gri (titanyum),Önden Çekiş,Bilinmiyor,Sahibinden,8.000,2,0,7,2,2,595000,256060.0,2006.0,102.0,1595.0,18.0,14225.555555555555,20.0,13.296318365198623,495,6.206575926724928
Antalya,520.000 TL,Audi,A4,A4 Sedan 2.0 TDI,378.000 km,2005.0,Otomatik,Dizel,Sedan,Gri (Gümüş),Önden Çekiş,Takasa Uygun,Sahibinden,Bilinmiyor,0,0,8,2,3,520000,378000.0,2005.0,140.0,1968.0,19.0,19894.736842105263,22.0,13.161586013632684,495,6.206575926724928
İstanbul,375.000 TL,Audi,A3,A3 Sportback 1.6 FSI,307.000 km,2006.0,Düz,Benzin,Hatchback/3,Siyah,Önden Çekiş,Bilinmiyor,Sahibinden,Bilinmiyor,0,2,2,1,8,375000,307000.0,2006.0,115.0,1595.0,18.0,17055.555555555555,9.0,12.834683971615659,495,6.206575926724928
Mersin,550.000 TL,Audi,A3,A3 Sportback 2.0 TDI Ambition,288.000 km,2006.0,Düz,Dizel,Hatchback/3,Siyah,Önden Çekiş,Bilinmiyor,Sahibinden,Bilinmiyor,0,6,5,0,2,550000,288000.0,2006.0,140.0,1968.0,18.0,16000.0,16.0,13.217675375388819,495,6.206575926724928
İstanbul,720.000 TL,Audi,A4,A4 Sedan 2.0 TFSI Quattro,175.000 km,2007.0,Otomatik,Benzin,Sedan,Beyaz,4WD (Sürekli),Bilinmiyor,Sahibinden,tutarı yok,0,0,1,2,10,720000,175000.0,2007.0,200.0,1984.0,17.0,10294.117647058823,8.0,13.487007879880162,495,6.206575926724928
Şanlıurfa,665.000 TL,Audi,A3,A3 Sportback 1.6 FSI,142.000 km,2007.0,Düz,Benzin,Hatchback/5,Siyah,Önden Çekiş,Bilinmiyor,Sahibinden,900,0,0,4,0,9,665000,142000.0,2007.0,115.0,1595.0,17.0,8352.941176470587,8.0,13.407543823396258,495,6.206575926724928
İstanbul,1.200.000 TL,Audi,A3,A3 Sedan 1.6 TDI Attraction,166.000 km,2016.0,Yarı Otomatik,Dizel,Sedan,Beyaz,Önden Çekiş,Bilinmiyor,Sahibinden,Bilinmiyor,0,1,1,0,11,1200000,166000.0,2016.0,110.0,1598.0,8.0,20750.0,3.0,13.997832948091215,495,6.206575926724928
İzmir,450.000 TL,Audi,A3,A3 Sportback 1.6 Attraction,229.000 km,2008.0,Düz,LPG & Benzin,Hatchback/3,Siyah,Önden Çekiş,Bilinmiyor,Sahibinden,Bu araç ağır hasar kayııdır.,0,0,0,0,13,450000,229000.0,2008.0,102.0,1595.0,16.0,14312.5,0.0,13.017005083966255,495,6.206575926724928
Kocaeli,620.000 TL,Audi,A6,A6 Sedan 2.0 TDI,420.000 km,2008.0,Otomatik,Dizel,Sedan,Mavi,Önden Çekiş,Takasa Uygun Değil,Sahibinden,20.000,3,0,1,2,7,620000,420000.0,2008.0,140.0,1968.0,16.0,26250.0,8.0,13.3374763699232,495,6.206575926724928
İstanbul,1.350.000 TL,Audi,A3,A3 Sportback 1.0 TFSI Dynamic,81.000 km,2017.0,Yarı Otomatik,Benzin,Hatchback/5,Kırmızı,Önden Çekiş,Bilinmiyor,Sahibinden,tutarı yok,0,0,0,0,13,1350000,81000.0,2017.0,116.0,999.0,7.0,11571.42857142857,0.0,14.115615891155079,495,6.206575926724928
Sakarya,230.000 TL,Audi,A4,A4 Sedan 1.8 T,479.000 km,2001.0,Otomatik,LPG & Benzin,Sedan,Gri (Gümüş),Önden Çekiş,Takasa Uygun,Sahibinden,tutarı belirtilmemiş,8,0,4,1,0,230000,479000.0,2001.0,150.0,1781.0,23.0,20826.08695652174,11.0,12.345838935721968,495,6.206575926724928
İstanbul,630.000 TL,Audi,A3,A3 Sportback 1.6 TDI Attraction,314.000 km,2012.0,Yarı Otomatik,Dizel,Hatchback/5,Siyah,Önden Çekiş,Bilinmiyor,Sahibinden,Bilinmiyor,10,0,2,1,0,630000,314000.0,2012.0,105.0,1598.0,12.0,26166.666666666668,7.0,13.353476685668044,495,6.206575926724928
Ankara,485.000 TL,Audi,A3,A3 Sportback 1.6 Ambiente,328.000 km,2008.0,Otomatik,LPG & Benzin,Hatchback/3,Siyah,Önden Çekiş,Takasa Uygun,Sahibinden,Bilinmiyor,0,0,11,0,2,485000,328000.0,2008.0,102.0,1595.0,16.0,20500.0,22.0,13.091906231773164,495,6.206575926724928
Muğla,375.500 TL,Audi,A4,A4 Sedan 1.6,390.000 km,2004.0,Düz,LPG & Benzin,Sedan,Siyah,Önden Çekiş,Bilinmiyor,Sahibinden,Bilinmiyor,0,1,0,0,12,375500,390000.0,2004.0,102.0,1595.0,20.0,19500.0,1.0,12.836016413298626,495,6.206575926724928
Amasya,495.000 TL,Audi,A6,A6 Sedan 2.5 TDI,178.000 km,2001.0,Otomatik,Dizel,Sedan,Siyah,Önden Çekiş,Takasa Uygun,Sahibinden,tutarı belirtilmemiş,0,0,11,2,0,495000,178000.0,2001.0,180.0,2496.0,23.0,7739.130434782609,28.0,13.112315061750808,495,6.206575926724928
Ankara,465.000 TL,Audi,A3,A3 Sportback 1.6 Ambition,357.000 km,2004.0,Düz,LPG & Benzin,Hatchback/3,Gri (Gümüş),Önden Çekiş,Bilinmiyor,Sahibinden,tutarı yok,0,0,4,0,9,465000,357000.0,2004.0,102.0,1595.0,20.0,17850.0,8.0,13.049794835104816,495,6.206575926724928
İzmir,525.000 TL,Audi,A4,A4 Sedan 2.0 TDI,356.000 km,2006.0,Otomatik,Dizel,Sedan,Siyah,Önden Çekiş,Bilinmiyor,Sahibinden,tutarı belirtilmemiş,0,0,0,0,13,525000,356000.0,2006.0,140.0,1968.0,18.0,19777.777777777777,0.0,13.171155446333852,495,6.206575926724928
Burdur,655.000 TL,Audi,A3,A3 Sportback 1.4 TFSI Ambition,295.000 km,2008.0,Yarı Otomatik,Benzin,Hatchback/3,Gri (metalik),Önden Çekiş,Bilinmiyor,Sahibinden,tutarı yok,13,0,0,0,0,655000,295000.0,2008.0,125.0,1390.0,16.0,18437.5,0.0,13.39239204133378,495,6.206575926724928
Ankara,370.000 TL,Audi,A3,A3 Sportback 1.6 Ambition,385.000 km,2004.0,Düz,LPG & Benzin,Hatchback/3,Mavi,Önden Çekiş,Takasa Uygun,Sahibinden,Bilinmiyor,0,0,2,2,9,370000,385000.0,2004.0,102.0,1595.0,20.0,19250.0,10.0,12.821260987319457,495,6.206575926724928
Bartın,1.175.000 TL,Audi,A3,A3 Sedan 1.6 TDI S Line,192.000 km,2014.0,Otomatik,Dizel,Sedan,Siyah,Önden Çekiş,Takasa Uygun,Bilinmiyor,Bilinmiyor,6,3,3,1,0,1175000,192000.0,2014.0,113.0,1500.5,10.0,19200.0,12.0,13.976779556623864,495,6.206575926724928
Balıkesir,3.515.000 TL,Audi,A4,A4 Sedan 40 TDI Quattro S Line,25.000 km,2024.0,Otomatik,Dizel,Sedan,Lacivert,4WD (Sürekli),Takasa Uygun,Bilinmiyor,Bilinmiyor,11,1,1,0,0,3515000,25000.0,2024.0,213.0,1900.5,0.0,25000.0,3.0,15.072550367721883,495,6.206575926724928
Antalya,770.000 TL,Audi,A4,A4 Sedan 2.0 TDI,195.000 km,2008.0,Düz,Dizel,Sedan,Füme,Önden Çekiş,Bilinmiyor,Sahibinden,1.110,5,1,5,0,2,770000,195000.0,2008.0,170.0,1968.0,16.0,12187.5,11.0,13.554147092530322,495,6.206575926724928
Gaziantep,2.350.000 TL,Audi,A6,A6 Sedan 2.0 TDI Quattro,184.000 km,2018.0,Otomatik,Dizel,Sedan,Beyaz,4WD (Sürekli),Takasa Uygun Değil,Bilinmiyor,Bilinmiyor,13,0,0,0,0,2350000,184000.0,2018.0,188.0,1900.5,6.0,30666.666666666668,0.0,14.669926311652166,495,6.206575926724928
Niğde,1.230.000 TL,Audi,A3,A3 Sportback 1.6 TDI Ambition,113.000 km,2015.0,Otomatik,Dizel,Hatchback/5,Beyaz,Önden Çekiş,Takasa Uygun Değil,Bilinmiyor,Bilinmiyor,13,0,0,0,0,1230000,113000.0,2015.0,113.0,1500.5,9.0,12555.555555555555,0.0,14.0225255403564,495,6.206575926724928
Konya,2.065.000 TL,Audi,A8,3.0 TDI Quattro Long,358.000 km,2012.0,Otomatik,Dizel,Sedan,Beyaz,4WD (Sürekli),Takasa Uygun,Galeriden,Bilinmiyor,8,1,2,2,0,2065000,358000.0,2012.0,250.0,2967.0,12.0,29833.333333333332,11.0,14.540641268638653,495,6.206575926724928
Antalya,959.000 TL,Audi,A3,A3 Sedan 1.6 TDI Ambiente,205.000 km,2014.0,Otomatik,Dizel,Sedan,Siyah,Önden Çekiş,Takasa Uygun,Bilinmiyor,Bilinmiyor,13,0,0,0,0,959000,205000.0,2014.0,113.0,1500.5,10.0,20500.0,0.0,13.7736473966179,495,6.206575926724928
Antalya,1.260.000 TL,Audi,A3,A3 Sedan 1.6 TDI Ambition,172.000 km,2016.0,Otomatik,Dizel,Sedan,Beyaz,Önden Çekiş,Takasa Uygun Değil,Bilinmiyor,3.000,12,0,0,1,0,1260000,172000.0,2016.0,113.0,1500.5,8.0,21500.0,3.0,14.04662307257814,495,6.206575926724928
Konya,635.000 TL,Audi,A6,A6 Sedan 2.0 TDI,437.000 km,2009.0,Otomatik,Dizel,Sedan,Siyah,Önden Çekiş,Takasa Uygun,Bilinmiyor,Bilinmiyor,6,0,6,1,0,635000,437000.0,2009.0,138.0,1900.5,15.0,29133.333333333332,15.0,13.361381852676738,495,6.206575926724928
İstanbul,770.000 TL,Audi,A4,A4 Sedan 2.0 TFSI Quattro,175.000 km,2006.0,Otomatik,Benzin,Sedan,Gri,4WD (Sürekli),Takasa Uygun Değil,Sahibinden,tutarı yok,13,0,0,0,0,770000,175000.0,2006.0,200.0,1984.0,18.0,9722.222222222223,0.0,13.554147092530322,495,6.206575926724928
Kayseri,2.025.000 TL,Audi,A5,A5 Sportback 1.4 TFSI,167.000 km,2017.0,Yarı Otomatik,Benzin,Hatchback/5,Beyaz,Önden Çekiş,Takasa Uygun,Sahibinden,tutarı belirtilmemiş,0,0,2,0,11,2025000,167000.0,2017.0,150.0,1395.0,7.0,23857.14285714286,4.0,14.521080752349816,495,6.206575926724928
Çanakkale,570.000 TL,Audi,A3,A3 Sportback 1.8 TFSI Ambition,259.000 km,2009.0,Yarı Otomatik,Benzin,Hatchback/5,Siyah,Önden Çekiş,Takasa Uygun,Sahibinden,105.000,4,1,2,4,2,570000,259000.0,2009.0,160.0,1798.0,15.0,17266.666666666668,17.0,13.25339339419516,495,6.206575926724928
İstanbul,900.000 TL,Audi,A6,A6 Sedan 3.2 FSI Quattro,155.000 km,2005.0,Otomatik,Benzin,Sedan,Gri,4WD (Sürekli),Takasa Uygun Değil,Sahibinden,Bilinmiyor,0,0,0,0,13,900000,155000.0,2005.0,255.0,3123.0,19.0,8157.894736842105,0.0,13.710151153416941,495,6.206575926724928
Van,725.000 TL,Audi,A6,A6 Sedan 2.0 TDI,502.000 km,2008.0,Otomatik,Dizel,Sedan,Siyah,Önden Çekiş,Bilinmiyor,Sahibinden,Bilinmiyor,0,1,1,1,10,725000,502000.0,2008.0,140.0,1968.0,16.0,31375.0,6.0,13.493928313146206,495,6.206575926724928
Ankara,765.000 TL,Audi,A3,A3 Sportback 1.6 TDI Attraction,242.500 km,2011.0,Yarı Otomatik,Dizel,Hatchback/5,Siyah,Önden Çekiş,Bilinmiyor,Sahibinden,Bilinmiyor,0,0,0,0,13,765000,242500.0,2011.0,105.0,1598.0,13.0,18653.846153846152,0.0,13.547632419997361,495,6.206575926724928
