il,fiyat(TRY),marka,seri,model,kilometre(Km),yıl,vitesTipi,yakitTuru,kasaTipi,renk,cekisTipi,takasUygunluk,saticiTuru,hasarGecmisi,orjinal_parça_sayısı,lokal_boyalı_parça_sayısı,boyalı_parça_sayısı,değişen_parça_sayısı,durumu_belirtilmemiş_parça_sayısı,fiyat_temiz,km_temiz,yil_temiz,motor_gucu_temiz,motor_hacmi_temiz,arac_yasi,km_per_yas,hasar_skoru,log_fiyat,marka_populerlik,marka_populerlik_log
Ankara,619.000 TL,Peugeot,207,1.6 VTi Active,124.000 km,2012.0,Otomatik,LPG & Benzin,Hatchback/5,Bilinmiyor,Önden Çekiş,Takasa Uygun Değil,Bilinmiyor,662,0,1,0,0,12,619000,124000.0,2012.0,122.0,1587.0,12.0,10333.333333333334,1.0,13.335862167174314,537,6.2878585601617845
İstanbul,225.000 TL,Peugeot,306,1.8 XR,232.000 km,1998.0,Düz,LPG & Benzin,Hatchback/5,Bilinmiyor,Önden Çekiş,Bilinmiyor,Bilinmiyor,tutarı yok,0,2,0,0,11,225000,232000.0,1998.0,102.0,1762.0,26.0,8923.076923076924,2.0,12.323860125621126,537,6.2878585601617845
İzmir,640.000 TL,Peugeot,208,1.4 HDi Active,210.000 km,2012.0,Yarı Otomatik,Dizel,Hatchback/5,Bilinmiyor,Önden Çekiş,Takasa Uygun Değil,Bilinmiyor,Bilinmiyor,13,0,0,0,0,640000,210000.0,2012.0,69.0,1398.0,12.0,17500.0,0.0,13.369225017834633,537,6.2878585601617845
İzmir,280.000 TL,Peugeot,206+,1.4 HDi Comfort,178.000 km,2011.0,Düz,Dizel,Hatchback/5,Bilinmiyor,Önden Çekiş,Takasa Uygun,Bilinmiyor,25.000,1,0,9,1,2,280000,178000.0,2011.0,71.0,1398.0,13.0,13692.307692307691,21.0,12.54254845357358,537,6.2878585601617845
Ankara,360.000 TL,Peugeot,206,1.4 X-Line,195.000 km,2004.0,Otomatik,LPG & Benzin,Hatchback/5,Bilinmiyor,Önden Çekiş,Takasa Uygun Değil,Bilinmiyor,7.400,0,0,3,0,10,360000,195000.0,2004.0,76.0,1360.0,20.0,9750.0,6.0,12.793862088206213,537,6.2878585601617845
Eskişehir,325.000 TL,Peugeot,206+,1.4 HDi Comfort,180.000 km,2011.0,Düz,Dizel,Hatchback/5,Bilinmiyor,Önden Çekiş,Bilinmiyor,Sahibinden,28.000,8,0,2,3,0,325000,180000.0,2011.0,71.0,1398.0,13.0,13846.153846153846,13.0,12.691583538230217,537,6.2878585601617845
İstanbul,360.000 TL,Peugeot,307,1.6 XS,298.000 km,2004.0,Otomatik,LPG & Benzin,Hatchback/5,Bilinmiyor,Önden Çekiş,Takasa Uygun,Bilinmiyor,17.500,4,0,6,3,0,360000,298000.0,2004.0,113.0,1500.5,20.0,14900.0,21.0,12.793862088206213,537,6.2878585601617845
Konya,560.000 TL,Peugeot,308,1.6 VTi Comfort Pack,141.000 km,2011.0,Düz,Benzin,Hatchback/5,Bilinmiyor,Önden Çekiş,Bilinmiyor,Sahibinden,Bilinmiyor,13,0,0,0,0,560000,141000.0,2011.0,122.0,1598.0,13.0,10846.153846153846,0.0,13.235693848424024,537,6.2878585601617845
İstanbul,615.000 TL,Peugeot,301,1.6 BlueHDI Active,140.000 km,2018.0,Düz,Dizel,Sedan,Bilinmiyor,Önden Çekiş,Bilinmiyor,Sahibinden,700,0,0,8,0,5,615000,140000.0,2018.0,102.0,1560.0,6.0,23333.333333333332,16.0,13.329379172803593,537,6.2878585601617845
İstanbul,445.000 TL,Peugeot,301,1.6 HDi Active,270.000 km,2015.0,Düz,Dizel,Sedan,Bilinmiyor,Önden Çekiş,Takasa Uygun Değil,Bilinmiyor,tutarı belirtilmemiş,0,0,9,0,4,445000,270000.0,2015.0,93.0,1560.0,9.0,30000.0,18.0,13.005831808336863,537,6.2878585601617845
